observation-1,observation-2,observation-3,observation-4,observation-5
14447928.325,1.5,0.005,0.005,11703215.615
6926903.735,1.5,0.005,0.005,4182191.025
11354249.905,1.5,0.005,0.005,8609537.195
15200714.36,1.5,0.005,0.005,12456001.65
8773370.745,1.5,0.005,0.005,6028658.035
23880153.271,1.5,0.005,0.005,21135440.561
3597663.454,1.5,0.005,0.005,852950.744
6116116.951,1.5,0.005,0.005,3371404.241
7902690.574,1.5,0.005,0.005,5157977.864
24356348.535,1.5,0.005,0.005,21611635.825
3840761.61,1.5,0.005,0.005,1096048.9
14532655.335,1.5,0.005,0.005,11787942.625
4048705.451,1.5,0.005,0.005,1303992.741
16572481.485,1.5,0.005,0.005,13827768.775
7775652.815,1.5,0.005,0.005,5030940.105
3859965.584,1.5,0.005,0.005,1115252.874
5609435.47,1.5,0.005,0.005,2864722.76
15896163.354,1.5,0.005,0.005,13151450.644
3836626.19,1.5,0.005,0.005,1091913.48
3989784.2,1.5,0.005,0.005,1245071.49
137879057.89,1.5,0.005,0.005,135134345.18
46342051.959,1.5,0.005,0.005,43597339.249
9370041.568,1.5,0.005,0.005,6625328.858
11540268.192,1.5,0.005,0.005,8795555.482
25311116.886,1.5,0.005,0.005,22566404.176
17611122.871,1.5,0.005,0.005,14866410.161
32463858.384,1.5,0.005,0.005,29719145.674
135131405.525,1.5,0.005,0.005,132386692.815
10951757.289,1.5,0.005,0.005,8207044.579
6536733.223,1.5,0.005,0.005,3792020.513
7572371.754,1.5,0.005,0.005,4827659.044
12222365.134,1.5,0.005,0.005,9477652.424
5424255.875,1.5,0.005,0.005,2679543.165
10166283.025,1.5,0.005,0.005,7421570.315
4743691.77,1.5,0.005,0.005,1998979.06
4375939.777,1.5,0.005,0.005,1631227.067
70697363.358,1.5,0.005,0.005,67952650.648
21038200.465,1.5,0.005,0.005,18293487.755
6061946.93,1.5,0.005,0.005,3317234.22
8407651.65,1.5,0.005,0.005,5662938.94
17303074.505,1.5,0.005,0.005,14558361.795
8822938.52,1.5,0.005,0.005,6078225.81
3249346.335,1.5,0.005,0.005,504633.625
33341999.655,1.5,0.005,0.005,30597286.945
47259829.315,1.5,0.005,0.005,44515116.605
11843802.835,1.5,0.005,0.005,9099090.125
9069354.061,1.5,0.005,0.005,6324641.351
4117815.899,1.5,0.005,0.005,1373103.189
3782337.797,1.5,0.005,0.005,1037625.087
